Sale Type,SKU,Name,Summer - Sale Price DR,Summer - Sale Price TW,Summer - Sale Price OR,% off list DR,% off list TW,% off list OR
Overstock,TFVIBTAP2BK-RED,(DC) The Tap Factory Vibrance 2 Black Twin Lever Mono Kitchen Mixer with Post Box Red Handles,,134.99,134.99,,0.1,0.1
Overstock,NATMALIN12,Drench Naturals Matt Stone PVC Waterproof Bathroom Wall Panel - 1000 x 2400mm,89.99,89.99,"89,999.99",0.1,0.1,0.1
Overstock,WIND003,Vellamo Breeze Bath Filler Tap,89.99,89.99,89.99,0.1,0.1,0.1
Overstock,QUB3418R/,(DC) Rangemaster Atlantic Quad 1.5 Bowl Stainless Steel Undermount Sink & Waste Kit - Right Hand Half Bowl - 600 x 450mm,,399.99,414.99,,0.1304,0.0978
Overstock,LHFPGW-L,L-Shaped Furniture Package - Gloss White - Left Hand,249.99,249.99,264.99,0.1379,0.1379,0.0862
Overstock,LISK,"Flova Liberty Mini Shower Kit with Handset, Wall Bracket & Hose - Chrome",74.99,74.99,79.99,0.1477,0.1477,0.0909
Overstock,BETA-007,(DC) Vellamo Venta Single Towel Rail 365mm,19.99,19.99,21.99,0.2001,0.2001,0.12
Overstock,VELWONDER-500X750-BLK,(DC) Vellamo Wonder Hexagonal Matt Black Framed Mirror - 500 x 750mm,74.99,74.99,134.99,0.5,0.5,0.1
Overstock,VELWONDER-500X750-BB,-,79.99,79.99,,,,
Overstock,TCK-086-1200,Thermogroup Vario EZ Cable Kit 12 Exc. 5259 Tstat - No thermostat,294.99,294.99,574.99,0.5354,0.5354,0.0945
Overstock,H919,(DC) Drench Brushed Nickel Double G Bar Furniture Handle - 160mm Centres,9.99,9.99,12.99,0.3336,0.3336,0.1334
Overstock,CW3,Burlington Bath Shallow P Trap,49.99,49.99,64.99,0.2538,0.2538,0.0299
Overstock,B004730.origins,Origins Living Modena Mirror - 650 x 900,299.99,299.99,354.99,0.2308,0.2308,0.0897
Overstock,PRO021T,Crosswater MPRO Single Robe Hook - Slate,44.99,44.99,54.99,0.2242,0.2242,0.0517
Overstock,RAD/872/C,(DC) Sagittarius Camden Thermostatic Corner Radiator Valve - Chrome,69.99,69.99,69.99,0.0667,0.0667,0.0667
Overstock,BL350WC_LV,Crosswater Belgravia Lever Wall Stop Taps,196.99,196.99,224.99,0.1959,0.1959,0.0816
Overstock,TGERANT01,(DC) Terma Artistic Regulating TRV Set With Handle For Cast Iron Radiators,184.99,184.99,199.99,0.1591,0.1591,0.0909
Overstock,KINGSTTRVN,EliteHeat Thermostatic TRV Straight Valve - Nickel (Kingston),129.99,129.99,139.99,0.1559,0.1559,0.0909
Overstock,TAB-148/2-NOT-C/P,Vado Notion Vertical Concealed 2 Outlet Thermostatic Shower Valve,499.99,499.99,534.99,0.1103,0.1103,0.048
Overstock,131464,(DC) Sonia S7 33cm Towel Rail,89.99,89.99,89.99,0.1,0.1,0.1
Overstock,LUNAR60,Lunar LED Mirror with Demister Pad - 600mm (Harbour Glow),179.99,179.99,179.99,0.1,0.1,0.1
"Overstock, Hero - Big Discount",MONO-500x700,Vellamo LED Illuminated Mirror with Demister Pad & Colour Change LEDs - 700 x 500mm,179.99,179.99,179.99,0.1,0.1,0.1
Overstock,AN3HBF,Flova Annecy 3 Hole Bath Mixer,359.99,359.99,359.99,0.1,0.1,0.1
"Overstock, Hero - Big Discount",TIS3102,LED Double Door Bathroom Mirror Cabinet with Shaver Socket - 600 x 700mm (Harbour Icon),359.99,359.99,359.99,0.1,0.1,0.1
Overstock,WGBUK065050-KBRAZX,Terma Bookie Heated Towel Rail - 655 x 500mm - Brass,544.99,544.99,514.99,0.0472,0.0472,0.0997
Overstock,KI017,Flova Urban Dual Function Air-In Rainshower Head With Waterfall Shower Set,494.99,494.99,494.99,0.1,0.1,0.1
Overstock,SLATINST02,Drench Naturals Slatted Wood Panel Installation Pack - 3 Panels,33.99,33.99,"89,999.99",0.1053,0.1053,0.1
Overstock,CH/573/G,Sagittarius Churchmans Exp D/Control Thermo Shower Gold (CH-191-G),594.99,594.99,594.99,0.0985,0.0985,0.0985
Overstock,MIA-600X700-CAB,Mia LED Mirror Cabinet with Demister Pad & Shaver Socket - 600 x 700mm (Harbour Glow),414.99,414.99,414.99,0.0978,0.0978,0.0978
Overstock,TSM-150-0600,Thermonet EZ 150 W/m2 - 12 x 0.5m,324.99,324.99,329.99,0.1022,0.1022,0.0884
Overstock,LNGRID_MB,(DC) Crosswater Matt Black Shower Waste Grid,46.99,46.99,46.99,0.0962,0.0962,0.0962
Overstock,LED-MIRROR001,Mosca LED Mirror with Demister Pad & Shaver Socket - 500 x 700mm (Harbour Glow),234.99,234.99,234.99,0.0962,0.0962,0.0962
Overstock,CARD100LMC,Clearwater Carina 1 Bowl Mocha Granite Composite Sink & Chrome Waste with Reversible Drainer - 1000 x 500mm,,284.99,284.99,,0.0952,0.0952
"Overstock, Hero - Big Discount",LED-MIRROR003,Mosca LED Mirror with Demister Pad & Shaver Socket - 1200 x 600mm (Harbour Glow),334.99,334.99,334.99,0.0946,0.0946,0.0946
Overstock,SHA/384/G,Sagittarius Richmond 300mm Shower Head & Arm Gold (SH-367-G),479.99,479.99,479.99,0.0943,0.0943,0.0943
Overstock,33M68WLBBR,HIX Rectangular Brushed Brass Framed Bathroom Mirror - 600 x 800mm,144.99,144.99,144.99,0.0938,0.0938,0.0938
Overstock,38M68WLMB,HIX Rectangular Matt Black Framed Bathroom Mirror - 600 x 800mm,144.99,144.99,144.99,0.0938,0.0938,0.0938
Overstock,WOODPANEL999,(DC) Harbour Indigo Blue 1800mm Vinyl Wrap Bath Panel,144.99,144.99,144.99,0.0938,0.0938,0.0938
Overstock,WGROR180059-KTCOUC01,Terma Rolo Room Vertical or Horizontal Column Radiator - True Copper - 1800 x 590mm,569.99,569.99,569.99,0.0924,0.0924,0.0924
Overstock,85690NK,Butler & Rose Caledonia Lever Vertical Concealed 2 Outlet 3 Handle Shower Valve - Nickel,489.99,489.99,489.99,0.0926,0.0926,0.0926
Overstock,TFVIBVALVESET-BG,The Tap Factory Vibrance Brushed Brass WRAS Approved Concealed Thermostatic Shower Valve with Fixed Shower Head and Shower Hands,489.99,489.99,489.99,0.0926,0.0926,0.0926
Overstock,TFVIBBFBG,The Tap Factory Vibrance Brushed Brass Deck Mounted Bath Filler,199.99,199.99,199.99,0.0909,0.0909,0.0909
Overstock,SMSHVO,Flova Smart Concealed Manual Shower Valve - 2 Outlet,204.99,204.99,204.99,0.0889,0.0889,0.0889
Overstock,38M68MB,HIX LED Illuminated Matt Black Framed Mirror with Demister Pad & Colour Change Lights - 600 x 800mm,264.99,264.99,264.99,0.0862,0.0862,0.0862
Overstock,PRO135DNW+,(DC) Crosswater MPRO 3 Hole Basin Mixer Tap - Matt White,264.99,264.99,264.99,0.0862,0.0862,0.0862
Overstock,166855,Sonia S Cube Toilet Brush Set,84.99,84.99,84.99,0.086,0.086,0.086
Overstock,P001MB,Just Taps VOS Round Overflow Cover - Matt Black,10.99,10.99,10.99,0.0834,0.0834,0.0834
Overstock,WBS/428/C,"Sagittarius Basin Waste, Spring Loaded (Unslotted) (WA/428/C)",10.99,10.99,10.99,0.0834,0.0834,0.0834
Overstock,BEL800BBL,EliteHeat Ladder Heated Towel Rail 25mm Bars - Brushed Black - 800 x 500mm (VOS),164.99,164.99,,0.0833,0.0833,
Overstock,TGETTWINP-KBRA,Terma Vario Twins Brass All In One Integrated 50mm Angled Valves with Pipe Masking Set - Right,204.99,204.99,204.99,0.0889,0.0889,0.0889
