Sale type,SKU,Name,Spring - Sale Price DR,Spring - Sale Price TW,Spring - Sale Price OR
Overstock,TFVIBTUBECP-RED,The Tap Factory Vibrance Tube Chrome Mono Pull Out Kitchen Mixer Tap with Red Sunset Spout,,154.99,
Overstock,TFVIBTUBENK-BLACK,The Tap Factory Vibrance Tube Brushed Nickel Mono Pull Out Kitchen Mixer Tap with Black Velvet Spout,,154.99,
,700S8WETSET,i8 8mm Wetroom Panel & Deflector Panel - 700*2000mm (Harbour),-0.01,254.99,
,br-catherine-sg-vu-fs-ct-co,Butler & Rose Catherine Floorstanding Shadow Grey Vanity Unit with Country Oak Countertop (Turin),-0.01,254.99,
,hb-primrose-pivot-800-side-900,Harbour Primrose Matt Black 6mm Pivot Shower Door 800m & Side Panel 900mm (1850mm high),354.99,354.99,
,hb-primrose-pivot-900-side-800,Harbour Primrose Matt Black 6mm Pivot Shower Door 900m & Side Panel 800mm (1850mm high),354.99,354.99,
Overstock,TVS00001800076,Villeroy & Boch Universal Exposed Square Thermostatic Shower Mixer - Brushed Gold,-0.01,329.99,
Overstock,hs-black-2-panel-pack-800-800,(DC) Harbour Status Matt Black Easy Clean 8mm Walk In 2 Shower Panel Pack - 800mm & 800mm (Scudo),399.99,399.99,
,HBCLA98,Harbour Clarity Exposed Thermostatic Rigid Riser Shower Kit - Matt Black,199.99,199.99,
,NCG550,Drench Emily Rimless BTW Close-Coupled Toilet & Soft Close Seat,-0.01,199.99,
,SQPD90BP,Harbour Primrose Matt Black 6mm Pivot Shower Door - 900mm (1850mm high),-0.01,199.99,
Overstock,TS011S,Crosswater 3ONE6 Stainless Steel Soap Dispenser,99.99,99.99,
Overstock,Grid50,Thomas Denby Bowl Grid for Metro Large 1 Bowl Ceramic Kitchen Sink,,59.99,
,RISERKIT002L,Vellamo Round Shower Riser Rail Kit - Chrome,29.99,29.99,
,hb-primrose-pivot-800-side-800,Harbour Primrose Matt Black 6mm Pivot Shower Door 800m & Side Panel 800mm (1850mm high),344.99,344.99,
,hb-primrose-sliding-10-side-9,Harbour Primrose Matt Black 6mm Single Sliding Shower Door 1000mm & Side Panel 900mm (1850mm high),389.99,389.99,
,hb-primrose-sliding-12-side-9,Harbour Primrose Matt Black 6mm Single Sliding Shower Door 1200mm & Side Panel 900mm (1850mm high),389.99,389.99,
Overstock,RIV.031,Burlington Riviera Soft Close Toilet Seat Hinges - Nickel,-0.01,38.99,
Overstock,GRE113BB,Britton Bathrooms Greenwich 2 Tap Hole Bath Shower Mixer - Brushed Brass,-0.01,289.99,
Overstock,MAL10MB,Clearwater Mariner Single Lever Mono Kitchen Mixer and Cold Filtered Water Tap - Matt Black,,289.99,
,SQU9BP,Harbour Primrose Matt Black 6mm Quadrant Shower Enclosure - 900mm (1850mm high),-0.01,289.99,
Overstock,AQSLD17,Chrome Pacific 1700mm Double Sliding Door 6mm (Drench Primrose 1700 Double Sliding Shower Door - 6mm Glass),-0.01,334.99,
,br-cath-sg-vu-ct-sg-brc-basin,"Butler & Rose Catherine Floorstanding Shadow Grey Vanity Unit, Shadow Grey Worktop and Butler & Rose Catherine Countertop Basin",-0.01,334.99,
,hb-primrose-sliding-10-side-8,Harbour Primrose Matt Black 6mm Single Sliding Shower Door 1000mm & Side Panel 800mm (1850mm high),379.99,379.99,
,hb-primrose-sliding-12-side-8,Harbour Primrose Matt Black 6mm Single Sliding Shower Door 1200mm & Side Panel 800mm (1850mm high),379.99,379.99,
Overstock,AU2MB,Clearwater Auva Twin Lever Mono Kitchen Mixer Tap - Matt Black,,189.99,
Overstock,IX4015,Just Taps Inox Square Fixed Shower Head,-0.01,189.99,
Overstock,LV3HWMBAS,Flova Levo Wall Mounted 3 Hole Basin Mixer & Clicker Waste Set,-0.01,189.99,
,SQPD80BP,Harbour Primrose Matt Black 6mm Pivot Shower Door - 800mm (1850mm high),-0.01,189.99,
,WRSF090,Vellamo City Matt Black Framed Wetroom Screen - 900mm,-0.01,234.99,
Overstock,RIV2_CHR,Burlington Riviera 1 Outlet Trim Plate and Handles - Chrome,-0.01,199.99,
,br-cath-sg-vu-ct-co-brc-basin,"Butler & Rose Catherine Floorstanding Shadow Grey Vanity Unit, Country Oak Worktop and Butler & Rose Catherine Countertop Basin",-0.01,324.99,
,i10-tall-wet-panel-bz-800-ret,Harbour i10 10mm Easy Clean 2m Tall 800mm Wetroom Panel & Hinged Return Panel - Brushed Bronze,-0.01,504.99,
,i10-tall-wet-panel-gm-800-ret,Harbour i10 10mm Easy Clean 2m Tall 800mm Wetroom Panel & Hinged Return Panel - Gunmetal,-0.01,504.99,
Overstock,BYTAPSET8,The Tap Factory Vanto Filtered Cold & Instant Boiling Water Tap with WRAS-Approved Boiler & Filter - Matt Black,,449.99,
,1000S8WETSET,i8 8mm Wetroom Panel & Deflector Panel - 1000*2000mm (Harbour),-0.01,269.99,
,900S8WETSET,i8 8mm Wetroom Panel & Deflector Panel - 900*2000mm (Harbour),-0.01,269.99,
